ID Group,Group,ID Industry,Industry,ID Year,Year,ID State,State,Workforce by Industry and Gender,Workforce by Industry and Gender Moe,Geography,ID Geography,Slug Geography,Year,Median Earnings Moe,Workforce Prev,Workforce Growth,Median Earnings Prev,Median Earnings Growth,Share
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",0,"Agriculture, Forestry, Fishing & Hunting",2022,"2022","04000US06","California",1769,389.7601826764761,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",57457,10714,5307,-66.66666666666666,51713,11.10745847272446,0.4650710357229239
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",1,"Mining, Quarrying, & Oil & Gas Extraction",2022,"2022","04000US06","California",126,84.30895563343196,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",94509,160583,110,14.545454545454545,118362,-20.152582754600292,0.03312546664843889
1,"Construction (Group)",2,"Construction",2022,"2022","04000US06","California",17261,1225.1252997142783,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",122498,9047,31819,-45.75253779188535,103374,18.499816201365917,4.537926030307173
2,"Manufacturing (Group)",3,"Manufacturing",2022,"2022","04000US06","California",38900,1995.5402777192949,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",192055,13864,31718,22.643294028627277,113099,69.81140416802978,10.22683057638312
3,"Wholesale Trade (Group)",4,"Wholesale Trade",2022,"2022","04000US06","California",7619,757.5018151793433,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",133142,14286,7595,0.31599736668861095,97164,37.02811740974023,2.00303913011473
4,"Retail Trade (Group)",5,"Retail Trade",2022,"2022","04000US06","California",32089,1684.5207033456134,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",73289,7377,41237,-22.183961005892765,59057,24.09875205310124,8.436215073664728
5,"Transportation & Warehousing, & Utilities",6,"Transportation & Warehousing",2022,"2022","04000US06","California",10564,986.9777099813348,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",100060,14758,12908,-18.15928106600558,80795,23.844297295624727,2.7772811878897503
5,"Transportation & Warehousing, & Utilities",7,"Utilities",2022,"2022","04000US06","California",2448,408.95231995918544,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",184241,35873,3213,-23.809523809523807,181046,1.7647448714691296,0.6435804948839557
6,"Information (Group)",8,"Information",2022,"2022","04000US06","California",9847,988.9110172305695,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",181811,24109,5623,75.12004268184243,130746,39.0566441803191,2.5887815086283954
7,"Finance & Insurance, & Real Estate & Rental & Leasing",9,"Finance & Insurance",2022,"2022","04000US06","California",16974,1238.0702726420661,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",183169,15919,11648,45.72458791208791,144560,26.707941339236303,4.46247357849684
7,"Finance & Insurance, & Real Estate & Rental & Leasing",10,"Real Estate & Rental & Leasing",2022,"2022","04000US06","California",10778,794.1341196548602,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",151092,23295,8172,31.88937836514929,90468,67.01153999204138,2.833541901086305
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",11,"Professional, Scientific, & Technical Services",2022,"2022","04000US06","California",64354,1910.0261778310787,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",198419,9089,26555,142.34230841649406,153347,29.39216287243963,16.918700640425687
